x,y,z,ts
-0.029256074,0.0048469454,-0.04920911,1548833729307
-0.035542548,-0.00064173725,-0.04772338,1548833729298
-0.027272874,-0.0014075203,-0.048290238,1548833729317
-0.027584251,-0.014558432,-0.032006416,1548833729327
-0.029079242,-0.025928227,-0.014964132,1548833729337
-0.042384017,-0.027850863,-0.010719746,1548833729347
-0.038947802,-0.03648694,0.0065530357,1548833729357
-0.019103574,-0.04420584,0.0036596402,1548833729367
-0.019457897,-0.048113476,0.0029524046,1548833729377
-0.036214884,-0.05344161,0.008674159,1548833729387
-0.01200536,-0.06000597,-0.0063169017,1548833729397
-0.027144331,-0.062340602,0.00040480122,1548833729407
0.008832084,-0.06525604,-0.010123822,1548833729417
0.028176993,-0.056512713,-0.005471427,1548833729427
0.039622348,-0.048774704,0.0010430145,1548833729437
0.03915591,-0.037148677,-0.0011675463,1548833729447
0.04048887,-0.019503733,-0.0006178468,1548833729457
0.041481234,-0.010263446,-0.003918425,1548833729467
0.026962345,-0.008299908,0.0049595437,1548833729477
0.0042047706,-0.007999685,0.018925283,1548833729487
-0.030405296,-0.002515717,0.014021394,1548833729497
-0.058181133,-0.004755442,-0.013633363,1548833729507
-0.07342495,0.011064567,-0.028675023,1548833729517
-0.07173439,0.0491404,-0.0465169,1548833729527
-0.0746639,0.0725968,-0.057088975,1548833729537
-0.069854945,0.08145197,-0.047932487,1548833729547
-0.06445332,0.07518908,-0.032249212,1548833729557
-0.055050146,0.0700484,-0.010753431,1548833729567
-0.04478259,0.06870621,0.006552452,1548833729577
-0.029511796,0.06591929,0.0036239624,1548833729587
-0.027185163,0.06454545,0.0045000594,1548833729597
-0.031210378,0.053945083,0.008987141,1548833729607
-0.037512258,0.042425845,0.013358342,1548833729617
-0.040323023,0.037557174,0.008076047,1548833729627
-0.032536432,0.042782426,-0.000896415,1548833729637
-0.014804311,0.05542391,-0.014529583,1548833729647
-0.01122113,0.059522245,-0.020299848,1548833729657
-0.013581352,0.05038866,-0.015638996,1548833729667
-0.009239072,0.032988477,-0.008055291,1548833729677
-0.014434993,0.020390464,-0.007022484,1548833729687
-0.023899604,0.015801307,-0.020563737,1548833729697
-0.041468985,0.024315037,-0.038788393,1548833729707
-0.054240055,0.036570143,-0.061298363,1548833729717
-0.058598865,0.047872458,-0.07924205,1548833729727
-0.06324698,0.0488648,-0.09223666,1548833729737
-0.06236087,0.04733775,-0.101220645,1548833729747
-0.03536751,0.049220707,-0.10160568,1548833729757
-0.016495746,0.044961005,-0.10457744,1548833729767
-0.018194765,0.036671847,-0.0876912,1548833729777
-0.035542548,-0.00064173725,-0.04772338,1548833729298
-0.027272874,-0.0014075203,-0.048290238,1548833729317
-0.027584251,-0.014558432,-0.032006416,1548833729327
-0.029079242,-0.025928227,-0.014964132,1548833729337
-0.042384017,-0.027850863,-0.010719746,1548833729347
-0.038947802,-0.03648694,0.0065530357,1548833729357
-0.019103574,-0.04420584,0.0036596402,1548833729367
-0.019457897,-0.048113476,0.0029524046,1548833729377
-0.036214884,-0.05344161,0.008674159,1548833729387
-0.01200536,-0.06000597,-0.0063169017,1548833729397
-0.027144331,-0.062340602,0.00040480122,1548833729407
0.008832084,-0.06525604,-0.010123822,1548833729417
0.028176993,-0.056512713,-0.005471427,1548833729427
0.039622348,-0.048774704,0.0010430145,1548833729437
0.03915591,-0.037148677,-0.0011675463,1548833729447
0.04048887,-0.019503733,-0.0006178468,1548833729457
0.041481234,-0.010263446,-0.003918425,1548833729467
0.026962345,-0.008299908,0.0049595437,1548833729477
0.0042047706,-0.007999685,0.018925283,1548833729487
-0.030405296,-0.002515717,0.014021394,1548833729497
-0.058181133,-0.004755442,-0.013633363,1548833729507
-0.07342495,0.011064567,-0.028675023,1548833729517
-0.07173439,0.0491404,-0.0465169,1548833729527
-0.0746639,0.0725968,-0.057088975,1548833729537
-0.069854945,0.08145197,-0.047932487,1548833729547
-0.06445332,0.07518908,-0.032249212,1548833729557
-0.055050146,0.0700484,-0.010753431,1548833729567
-0.04478259,0.06870621,0.006552452,1548833729577
-0.029511796,0.06591929,0.0036239624,1548833729587
-0.027185163,0.06454545,0.0045000594,1548833729597
-0.031210378,0.053945083,0.008987141,1548833729607
-0.037512258,0.042425845,0.013358342,1548833729617
-0.040323023,0.037557174,0.008076047,1548833729627
-0.032536432,0.042782426,-0.000896415,1548833729637
-0.014804311,0.05542391,-0.014529583,1548833729647
-0.01122113,0.059522245,-0.020299848,1548833729657
-0.013581352,0.05038866,-0.015638996,1548833729667
-0.009239072,0.032988477,-0.008055291,1548833729677
-0.014434993,0.020390464,-0.007022484,1548833729687
-0.023899604,0.015801307,-0.020563737,1548833729697
-0.041468985,0.024315037,-0.038788393,1548833729707
-0.054240055,0.036570143,-0.061298363,1548833729717
-0.058598865,0.047872458,-0.07924205,1548833729727
-0.06324698,0.0488648,-0.09223666,1548833729737
-0.06236087,0.04733775,-0.101220645,1548833729747
-0.03536751,0.049220707,-0.10160568,1548833729757
-0.016495746,0.044961005,-0.10457744,1548833729767
-0.018194765,0.036671847,-0.0876912,1548833729777
-0.035542548,-0.00064173725,-0.04772338,1548833729298
-0.027272874,-0.0014075203,-0.048290238,1548833729317
-0.027584251,-0.014558432,-0.032006416,1548833729327
-0.029079242,-0.025928227,-0.014964132,1548833729337
-0.042384017,-0.027850863,-0.010719746,1548833729347
-0.038947802,-0.03648694,0.0065530357,1548833729357
-0.019103574,-0.04420584,0.0036596402,1548833729367
-0.019457897,-0.048113476,0.0029524046,1548833729377
-0.036214884,-0.05344161,0.008674159,1548833729387
-0.01200536,-0.06000597,-0.0063169017,1548833729397
-0.027144331,-0.062340602,0.00040480122,1548833729407
0.008832084,-0.06525604,-0.010123822,1548833729417
0.028176993,-0.056512713,-0.005471427,1548833729427
0.039622348,-0.048774704,0.0010430145,1548833729437
0.03915591,-0.037148677,-0.0011675463,1548833729447
0.04048887,-0.019503733,-0.0006178468,1548833729457
0.041481234,-0.010263446,-0.003918425,1548833729467
0.026962345,-0.008299908,0.0049595437,1548833729477
0.0042047706,-0.007999685,0.018925283,1548833729487
-0.030405296,-0.002515717,0.014021394,1548833729497
-0.058181133,-0.004755442,-0.013633363,1548833729507
-0.07342495,0.011064567,-0.028675023,1548833729517
-0.07173439,0.0491404,-0.0465169,1548833729527
-0.0746639,0.0725968,-0.057088975,1548833729537
-0.069854945,0.08145197,-0.047932487,1548833729547
-0.06445332,0.07518908,-0.032249212,1548833729557
-0.055050146,0.0700484,-0.010753431,1548833729567
-0.04478259,0.06870621,0.006552452,1548833729577
-0.029511796,0.06591929,0.0036239624,1548833729587
-0.027185163,0.06454545,0.0045000594,1548833729597
-0.031210378,0.053945083,0.008987141,1548833729607
-0.037512258,0.042425845,0.013358342,1548833729617
-0.040323023,0.037557174,0.008076047,1548833729627
-0.032536432,0.042782426,-0.000896415,1548833729637
-0.014804311,0.05542391,-0.014529583,1548833729647
-0.01122113,0.059522245,-0.020299848,1548833729657
-0.013581352,0.05038866,-0.015638996,1548833729667
-0.009239072,0.032988477,-0.008055291,1548833729677
-0.014434993,0.020390464,-0.007022484,1548833729687
-0.023899604,0.015801307,-0.020563737,1548833729697
-0.041468985,0.024315037,-0.038788393,1548833729707
-0.054240055,0.036570143,-0.061298363,1548833729717
-0.058598865,0.047872458,-0.07924205,1548833729727
-0.06324698,0.0488648,-0.09223666,1548833729737
-0.06236087,0.04733775,-0.101220645,1548833729747
-0.03536751,0.049220707,-0.10160568,1548833729757
-0.016495746,0.044961005,-0.10457744,1548833729767
-0.018194765,0.036671847,-0.0876912,1548833729777
-0.035542548,-0.00064173725,-0.04772338,1548833729298
-0.027272874,-0.0014075203,-0.048290238,1548833729317
-0.027584251,-0.014558432,-0.032006416,1548833729327
-0.029079242,-0.025928227,-0.014964132,1548833729337
-0.042384017,-0.027850863,-0.010719746,1548833729347
-0.038947802,-0.03648694,0.0065530357,1548833729357
-0.019103574,-0.04420584,0.0036596402,1548833729367
-0.019457897,-0.048113476,0.0029524046,1548833729377
-0.036214884,-0.05344161,0.008674159,1548833729387
-0.01200536,-0.06000597,-0.0063169017,1548833729397
-0.027144331,-0.062340602,0.00040480122,1548833729407
0.008832084,-0.06525604,-0.010123822,1548833729417
0.028176993,-0.056512713,-0.005471427,1548833729427
0.039622348,-0.048774704,0.0010430145,1548833729437
0.03915591,-0.037148677,-0.0011675463,1548833729447
0.04048887,-0.019503733,-0.0006178468,1548833729457
0.041481234,-0.010263446,-0.003918425,1548833729467
0.026962345,-0.008299908,0.0049595437,1548833729477
0.0042047706,-0.007999685,0.018925283,1548833729487
-0.030405296,-0.002515717,0.014021394,1548833729497
-0.058181133,-0.004755442,-0.013633363,1548833729507
-0.07342495,0.011064567,-0.028675023,1548833729517
-0.07173439,0.0491404,-0.0465169,1548833729527
-0.0746639,0.0725968,-0.057088975,1548833729537
-0.069854945,0.08145197,-0.047932487,1548833729547
-0.06445332,0.07518908,-0.032249212,1548833729557
-0.055050146,0.0700484,-0.010753431,1548833729567
-0.04478259,0.06870621,0.006552452,1548833729577
-0.029511796,0.06591929,0.0036239624,1548833729587
-0.027185163,0.06454545,0.0045000594,1548833729597
-0.031210378,0.053945083,0.008987141,1548833729607
-0.037512258,0.042425845,0.013358342,1548833729617
-0.040323023,0.037557174,0.008076047,1548833729627
-0.032536432,0.042782426,-0.000896415,1548833729637
-0.014804311,0.05542391,-0.014529583,1548833729647
-0.01122113,0.059522245,-0.020299848,1548833729657
-0.013581352,0.05038866,-0.015638996,1548833729667
-0.009239072,0.032988477,-0.008055291,1548833729677
-0.014434993,0.020390464,-0.007022484,1548833729687
-0.023899604,0.015801307,-0.020563737,1548833729697
-0.041468985,0.024315037,-0.038788393,1548833729707
-0.054240055,0.036570143,-0.061298363,1548833729717
-0.058598865,0.047872458,-0.07924205,1548833729727
-0.06324698,0.0488648,-0.09223666,1548833729737
-0.06236087,0.04733775,-0.101220645,1548833729747
-0.03536751,0.049220707,-0.10160568,1548833729757
-0.016495746,0.044961005,-0.10457744,1548833729767
-0.018194765,0.036671847,-0.0876912,1548833729777
-0.035542548,-0.00064173725,-0.04772338,1548833729298
-0.027272874,-0.0014075203,-0.048290238,1548833729317
-0.027584251,-0.014558432,-0.032006416,1548833729327
-0.029079242,-0.025928227,-0.014964132,1548833729337
-0.042384017,-0.027850863,-0.010719746,1548833729347
-0.038947802,-0.03648694,0.0065530357,1548833729357
-0.019103574,-0.04420584,0.0036596402,1548833729367
-0.019457897,-0.048113476,0.0029524046,1548833729377
-0.036214884,-0.05344161,0.008674159,1548833729387
-0.01200536,-0.06000597,-0.0063169017,1548833729397
-0.027144331,-0.062340602,0.00040480122,1548833729407
0.008832084,-0.06525604,-0.010123822,1548833729417
0.028176993,-0.056512713,-0.005471427,1548833729427
0.039622348,-0.048774704,0.0010430145,1548833729437
0.03915591,-0.037148677,-0.0011675463,1548833729447
0.04048887,-0.019503733,-0.0006178468,1548833729457
0.041481234,-0.010263446,-0.003918425,1548833729467
0.026962345,-0.008299908,0.0049595437,1548833729477
0.0042047706,-0.007999685,0.018925283,1548833729487
-0.030405296,-0.002515717,0.014021394,1548833729497
-0.058181133,-0.004755442,-0.013633363,1548833729507
-0.07342495,0.011064567,-0.028675023,1548833729517
-0.07173439,0.0491404,-0.0465169,1548833729527
-0.0746639,0.0725968,-0.057088975,1548833729537
-0.069854945,0.08145197,-0.047932487,1548833729547
-0.06445332,0.07518908,-0.032249212,1548833729557
-0.055050146,0.0700484,-0.010753431,1548833729567
-0.04478259,0.06870621,0.006552452,1548833729577
-0.029511796,0.06591929,0.0036239624,1548833729587
-0.027185163,0.06454545,0.0045000594,1548833729597
-0.031210378,0.053945083,0.008987141,1548833729607
-0.037512258,0.042425845,0.013358342,1548833729617
-0.040323023,0.037557174,0.008076047,1548833729627
-0.032536432,0.042782426,-0.000896415,1548833729637
-0.014804311,0.05542391,-0.014529583,1548833729647
-0.01122113,0.059522245,-0.020299848,1548833729657
-0.013581352,0.05038866,-0.015638996,1548833729667
-0.009239072,0.032988477,-0.008055291,1548833729677
-0.014434993,0.020390464,-0.007022484,1548833729687
-0.023899604,0.015801307,-0.020563737,1548833729697
-0.041468985,0.024315037,-0.038788393,1548833729707
-0.054240055,0.036570143,-0.061298363,1548833729717
-0.058598865,0.047872458,-0.07924205,1548833729727
-0.06324698,0.0488648,-0.09223666,1548833729737
-0.06236087,0.04733775,-0.101220645,1548833729747
-0.03536751,0.049220707,-0.10160568,1548833729757
-0.016495746,0.044961005,-0.10457744,1548833729767
-0.018194765,0.036671847,-0.0876912,1548833729777
